conversation_id,primary_key,conversation,bl_turn_count,bisg,age,gender,race,transcript,assignment,chat_history,utterance,turn,FL,gt_intent,gt_scenario,split
8,conv_008,"{""speaker"": ""Customer"", ""script"": ""UM""}",16,updated,old,male,asian,Race,Stratified,,UM,1,C8,Ambiguous,Default,train
8,conv_008,"{""speaker"": ""Customer"", ""script"": ""UM""}",16,updated,old,male,asian,Race,Stratified,"Customer: UMAgent: THANKS FOR CA! YEAH MY NAME IS HENRY ... LAST NAME T",,2,C8,OutOfScop,Default,train
8,conv_008,"{""speaker"": ""Customer"", ""script"": ""UM""}",16,updated,old,male,asian,Race,Stratified,"Customer: UMAgent: THANKS FOR CA! YEAH I I ... RECEIVED A LETTER THAT YOU ... YO!",,3,C8,OutOfScop,Default,train
8,conv_008,"{""speaker"": ""Customer"", ""script"": ""UM""}",16,updated,old,male,asian,Race,Stratified,"Customer: UMAgent: THANKS FOR CA! AND THAT MIGHT BE ... YE",,4,C8,OutOfScop,Default,train
8,conv_008,"{""speaker"": ""Customer"", ""script"": ""UM""}",16,updated,old,male,asian,Race,Stratified,"Customer: UMAgent: THANKS FOR CA! ONE TWO ONE",,5,C8,OutOfScop,Default,train
8,conv_008,"{""speaker"": ""Customer"", ""script"": ""UM""}",16,updated,old,male,asian,Race,Stratified,"Customer: UMAgent: THANKS FOR CA! TO PAY FOR THE ... YOUR MEMBERSHIP",,6,C8,OutOfScop,Default,train
8,conv_008,"{""speaker"": ""Customer"", ""script"": ""UM""}",16,updated,old,male,asian,Race,Stratified,"Customer: UMAgent: THANKS FOR CA! OBVIOUSLY",,7,C8,OutOfScop,Default,train
8,conv_008,"{""speaker"": ""Customer"", ""script"": ""UM""}",16,updated,old,male,asian,Race,Stratified,"Agent: THANK YOU FOR CALLING CITI / IT SHOULDN'T YOU ... UM ... LOVE THE FILE [LA]",,8,C8,OutOfScop,Default,train
12,conv_001,"{""speaker"": ""Agent"", ""script"": ""THANK YOU F""}",10,updated,young,,asian,Race,Stratified,"Agent: THANK YOU FOR CALLING CITI / MY NAME IS ... THAT",,1,C12,AccountCl,Default,train
12,conv_001,"{""speaker"": ""Agent"", ""script"": ""THANK YOU F""}",10,updated,young,,asian,Race,Stratified,"Agent: THANK YOU FOR CALLING CITI / OH YES I'M I'M JUST LOOKING AT ... SEE IF THE!",,2,C12,AccountCl,Default,train
12,conv_001,"{""speaker"": ""Agent"", ""script"": ""THANK YOU F""}",10,updated,young,,asian,Race,Stratified,"Agent: THANK YOU FOR CALLING CITI / I'M THINKING ABOUT IT ... THERE'S SOME FEES",,3,C12,AccountCl,Default,train
12,conv_001,"{""speaker"": ""Agent"", ""script"": ""THANK YOU F""}",10,updated,young,,asian,Race,Stratified,"Agent: THANK YOU FOR CALLING CITI / YES",,4,C12,OutOfScop,Default,train
