Date,Product,Region,Channel,SalesRep,Units,UnitPrice,Revenue,Cost,Profit,Discount
2024-11-23,Wireless Mouse,Europe,Retail,Bob Smith,1,49,41.65,21.61,20.04,15
2024-12-12,Wireless Mouse,North America,Retail,Diana Park,19,49,884.45,405.03,479.42,5
2024-09-15,Laptop Pro,Latin America,Retail,Hana Kim,18,1299,23382.0,14707.39,8674.61,0
2024-10-28,Keyboard MX,Asia Pacific,Enterprise,Carlos Diaz,1,129,129.0,80.56,48.44,0
2024-04-20,Webcam HD,Asia Pacific,Enterprise,Erik Muller,4,89,356.0,194.01,161.99,0
2024-01-23,SSD 1TB,Latin America,Online,Erik Muller,18,109,1962.0,1360.21,601.79,0
2024-11-17,Webcam HD,North America,Retail,Erik Muller,19,89,1691.0,1058.81,632.19,0
2024-02-10,Monitor 27in,Asia Pacific,Retail,Fatima Ali,4,449,1706.2,886.36,819.84,5
2024-06-30,Monitor 27in,North America,Retail,Diana Park,9,449,3434.85,2350.0,1084.85,15
2024-03-24,SSD 1TB,Europe,Enterprise,Alice Chen,13,109,1417.0,988.19,428.81,0
2024-04-27,Laptop Pro,Europe,Enterprise,Diana Park,11,1299,13574.55,7017.16,6557.39,5
2024-12-01,SSD 1TB,Asia Pacific,Retail,Diana Park,13,109,1204.45,680.17,524.28,15
2024-10-14,Keyboard MX,Latin America,Enterprise,Diana Park,19,129,2328.45,1570.44,758.01,5
2024-03-11,SSD 1TB,Europe,Retail,Greg Johnson,3,109,327.0,217.55,109.45,0
2024-11-01,Wireless Mouse,Latin America,Enterprise,Alice Chen,13,49,605.15,362.47,242.68,5
2024-12-14,Wireless Mouse,Asia Pacific,Online,Erik Muller,18,49,882.0,566.38,315.62,0
2024-08-10,USB-C Hub,Asia Pacific,Retail,Bob Smith,15,79,1185.0,815.82,369.18,0
2024-11-16,Keyboard MX,Asia Pacific,Retail,Alice Chen,17,129,1973.7,986.31,987.39,10
2024-11-02,Webcam HD,Asia Pacific,Enterprise,Diana Park,16,89,1424.0,680.62,743.38,0
2024-01-30,Monitor 27in,Latin America,Online,Carlos Diaz,19,449,8531.0,4021.63,4509.37,0
2024-03-06,SSD 1TB,Latin America,Retail,Diana Park,18,109,1962.0,1012.91,949.09,0
2024-06-08,Headset Pro,Latin America,Online,Diana Park,12,199,2268.6,1531.09,737.51,5
2024-04-25,Wireless Mouse,Europe,Retail,Alice Chen,11,49,539.0,321.82,217.18,0
2024-02-06,Laptop Pro,Asia Pacific,Online,Diana Park,8,1299,10392.0,7028.68,3363.32,0
2024-05-22,SSD 1TB,Latin America,Retail,Hana Kim,7,109,686.7,331.73,354.97,10
2024-07-27,Monitor 27in,Asia Pacific,Partner,Greg Johnson,4,449,1796.0,1104.08,691.92,0
2024-08-27,Laptop Pro,Asia Pacific,Online,Diana Park,4,1299,5196.0,2861.21,2334.79,0
2024-04-08,Monitor 27in,Europe,Enterprise,Hana Kim,18,449,7677.9,3724.13,3953.77,5
2024-05-07,Wireless Mouse,North America,Online,Diana Park,15,49,661.5,313.87,347.63,10
2024-03-26,Headset Pro,Latin America,Online,Carlos Diaz,16,199,3024.8,1522.8,1502.0,5
2024-07-13,Laptop Pro,Latin America,Enterprise,Greg Johnson,13,1299,16887.0,11510.68,5376.32,0
2024-12-22,SSD 1TB,North America,Online,Fatima Ali,5,109,545.0,285.68,259.32,0
2024-01-30,Laptop Pro,Europe,Online,Bob Smith,19,1299,23446.95,13498.7,9948.25,5
2024-04-05,Wireless Mouse,Europe,Partner,Bob Smith,20,49,980.0,606.43,373.57,0
2024-10-18,Monitor 27in,North America,Partner,Fatima Ali,19,449,7677.9,3531.34,4146.56,10
2024-05-13,Monitor 27in,Europe,Enterprise,Hana Kim,11,449,4939.0,2550.52,2388.48,0
2024-06-10,Wireless Mouse,North America,Online,Diana Park,1,49,46.55,28.18,18.37,5
2024-09-16,Keyboard MX,Europe,Enterprise,Erik Muller,5,129,645.0,432.29,212.71,0
2024-03-21,SSD 1TB,North America,Enterprise,Bob Smith,18,109,1667.7,876.59,791.11,15
2024-03-09,Keyboard MX,Europe,Enterprise,Erik Muller,4,129,516.0,327.97,188.03,0
2024-11-05,Monitor 27in,Asia Pacific,Partner,Erik Muller,11,449,4939.0,3071.44,1867.56,0
2024-01-27,Wireless Mouse,Asia Pacific,Retail,Erik Muller,14,49,686.0,316.26,369.74,0
2024-03-23,SSD 1TB,North America,Online,Bob Smith,18,109,1667.7,928.78,738.92,15
2024-12-19,USB-C Hub,Europe,Partner,Carlos Diaz,18,79,1422.0,936.6,485.4,0
2024-01-22,Keyboard MX,Europe,Retail,Bob Smith,12,129,1548.0,1044.48,503.52,0
2024-06-30,Headset Pro,Europe,Retail,Carlos Diaz,20,199,3383.0,1653.06,1729.94,15
2024-07-30,Laptop Pro,Latin America,Retail,Erik Muller,6,1299,6624.9,4512.36,2112.54,15
2024-03-22,Wireless Mouse,Europe,Retail,Hana Kim,13,49,637.0,423.38,213.62,0
2024-06-28,Keyboard MX,Europe,Partner,Fatima Ali,8,129,1032.0,470.51,561.49,0
2024-05-22,Wireless Mouse,Latin America,Enterprise,Alice Chen,9,49,441.0,269.17,171.83,0
2024-02-29,Keyboard MX,Asia Pacific,Online,Bob Smith,6,129,696.6,481.1,215.5,10
2024-11-01,Headset Pro,Latin America,Online,Greg Johnson,12,199,2029.8,1312.48,717.32,15
2024-10-22,Monitor 27in,North America,Retail,Fatima Ali,9,449,4041.0,2534.5,1506.5,0
2024-08-08,Wireless Mouse,North America,Enterprise,Erik Muller,11,49,485.1,256.37,228.73,10
2024-12-07,Headset Pro,Europe,Retail,Greg Johnson,11,199,2079.55,1298.27,781.28,5
2024-12-06,Headset Pro,Latin America,Online,Erik Muller,6,199,1074.6,636.46,438.14,10
2024-05-26,Monitor 27in,Asia Pacific,Partner,Hana Kim,14,449,5657.4,3403.86,2253.54,10
2024-08-14,Monitor 27in,Europe,Online,Erik Muller,17,449,7251.35,4702.02,2549.33,5
2024-09-20,Webcam HD,Europe,Retail,Carlos Diaz,3,89,267.0,165.06,101.94,0
2024-01-13,Laptop Pro,North America,Partner,Greg Johnson,8,1299,9872.4,5951.27,3921.13,5
2024-11-18,Monitor 27in,Europe,Online,Bob Smith,13,449,5545.15,3049.35,2495.8,5
2024-08-05,Monitor 27in,North America,Retail,Bob Smith,6,449,2289.9,1326.97,962.93,15
2024-08-21,USB-C Hub,Asia Pacific,Partner,Greg Johnson,15,79,1007.25,587.01,420.24,15
2024-10-07,SSD 1TB,Latin America,Enterprise,Diana Park,6,109,555.9,369.88,186.02,15
2024-11-22,Keyboard MX,Asia Pacific,Partner,Bob Smith,17,129,2083.35,1263.94,819.41,5
2024-05-26,Monitor 27in,North America,Retail,Carlos Diaz,9,449,4041.0,2141.44,1899.56,0
2024-04-28,Headset Pro,Latin America,Partner,Fatima Ali,5,199,845.75,425.83,419.92,15
2024-10-04,SSD 1TB,Latin America,Partner,Alice Chen,14,109,1526.0,765.61,760.39,0
2024-10-21,Headset Pro,Asia Pacific,Partner,Greg Johnson,16,199,3184.0,2183.22,1000.78,0
2024-10-02,Monitor 27in,Latin America,Online,Greg Johnson,16,449,7184.0,3722.99,3461.01,0
2024-06-21,Headset Pro,North America,Partner,Alice Chen,6,199,1134.3,771.19,363.11,5
2024-02-12,Headset Pro,Asia Pacific,Partner,Fatima Ali,5,199,945.25,468.31,476.94,5
2024-04-18,SSD 1TB,Latin America,Enterprise,Greg Johnson,11,109,1199.0,767.73,431.27,0
2024-05-09,Wireless Mouse,North America,Enterprise,Diana Park,16,49,784.0,499.61,284.39,0
2024-11-28,Wireless Mouse,Europe,Online,Carlos Diaz,2,49,98.0,67.37,30.63,0
2024-05-02,USB-C Hub,Europe,Partner,Erik Muller,16,79,1074.4,514.21,560.19,15
2024-07-07,USB-C Hub,North America,Retail,Erik Muller,20,79,1422.0,982.51,439.49,10
2024-02-25,Laptop Pro,Latin America,Partner,Diana Park,10,1299,11691.0,7240.67,4450.33,10
2024-02-08,Monitor 27in,North America,Online,Fatima Ali,4,449,1526.6,981.79,544.81,15
2024-09-29,Headset Pro,Asia Pacific,Online,Greg Johnson,12,199,2388.0,1376.66,1011.34,0
2024-09-07,Wireless Mouse,Latin America,Retail,Greg Johnson,14,49,686.0,417.7,268.3,0
2024-03-31,Keyboard MX,Latin America,Partner,Erik Muller,20,129,2322.0,1494.58,827.42,10
2024-06-14,Monitor 27in,Europe,Partner,Greg Johnson,3,449,1347.0,903.04,443.96,0
2024-06-21,Laptop Pro,Europe,Enterprise,Erik Muller,16,1299,20784.0,10297.64,10486.36,0
2024-06-23,Keyboard MX,North America,Retail,Bob Smith,20,129,2193.0,1469.37,723.63,15
2024-05-03,Headset Pro,Latin America,Partner,Hana Kim,16,199,2865.6,1832.67,1032.93,10
2024-01-09,Wireless Mouse,Europe,Enterprise,Fatima Ali,10,49,490.0,270.04,219.96,0
2024-08-30,Webcam HD,Asia Pacific,Partner,Erik Muller,14,89,1059.1,622.32,436.78,15
2024-06-05,Keyboard MX,Asia Pacific,Online,Carlos Diaz,8,129,1032.0,650.49,381.51,0
2024-04-08,Monitor 27in,Asia Pacific,Online,Diana Park,16,449,7184.0,4534.15,2649.85,0
2024-05-31,Monitor 27in,Europe,Enterprise,Alice Chen,12,449,5388.0,2831.75,2556.25,0
2024-01-28,Keyboard MX,Latin America,Online,Alice Chen,5,129,548.25,365.75,182.5,15
2024-10-20,Keyboard MX,Europe,Online,Erik Muller,16,129,1960.8,1098.28,862.52,5
2024-09-01,Wireless Mouse,North America,Retail,Carlos Diaz,3,49,139.65,80.01,59.64,5
2024-10-15,Keyboard MX,Latin America,Retail,Greg Johnson,3,129,387.0,185.61,201.39,0
2024-08-18,SSD 1TB,Asia Pacific,Online,Bob Smith,10,109,981.0,684.26,296.74,10
2024-04-16,Monitor 27in,Europe,Retail,Bob Smith,9,449,3434.85,1615.4,1819.45,15
2024-03-21,Laptop Pro,Latin America,Enterprise,Alice Chen,14,1299,17276.7,10752.03,6524.67,5
2024-04-28,Keyboard MX,North America,Retail,Erik Muller,10,129,1096.5,729.06,367.44,15
2024-11-16,Monitor 27in,Europe,Enterprise,Carlos Diaz,14,449,6286.0,3684.48,2601.52,0
2024-02-06,Laptop Pro,Asia Pacific,Partner,Bob Smith,6,1299,7794.0,4666.74,3127.26,0
2024-08-27,Keyboard MX,Latin America,Partner,Bob Smith,13,129,1677.0,964.47,712.53,0
2024-11-02,Laptop Pro,Asia Pacific,Online,Bob Smith,14,1299,15458.1,8201.76,7256.34,15
2024-04-27,Laptop Pro,Europe,Partner,Hana Kim,9,1299,10521.9,4840.68,5681.22,10
2024-05-22,USB-C Hub,Latin America,Online,Hana Kim,19,79,1425.95,867.97,557.98,5
2024-06-27,Headset Pro,Europe,Enterprise,Greg Johnson,11,199,2189.0,1351.78,837.22,0
2024-12-21,SSD 1TB,North America,Partner,Bob Smith,10,109,926.5,635.86,290.64,15
2024-06-10,Keyboard MX,Latin America,Online,Hana Kim,11,129,1419.0,982.72,436.28,0
2024-07-30,Laptop Pro,Latin America,Partner,Alice Chen,7,1299,8183.7,4422.84,3760.86,10
2024-04-14,Keyboard MX,Latin America,Partner,Bob Smith,18,129,2322.0,1583.41,738.59,0
2024-01-15,Monitor 27in,Latin America,Online,Diana Park,6,449,2694.0,1583.29,1110.71,0
2024-02-28,SSD 1TB,Latin America,Enterprise,Erik Muller,4,109,370.6,243.87,126.73,15
